,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Anschlussleistung,Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,Max,amenity=restaurant,amenity=place_of_worship,amenity=cafe,amenity=fast_food,amenity=vending_machine,amenity=bar,amenity=library,amenity=marketplace,amenity=theatre,amenity=ice_cream,amenity=cinema,amenity=bbq,amenity=arts_centre,amenity=nightclub,amenity=public_bookcase,amenity=internet_cafe,amenity=food_court,amenity=biergarten,amenity=brothel,amenity=pub,museum,tourism
127,EnBW mobility+ AG und Co.KG ,Autobahn,0,BAB7,88451,Dettingen,Baden-Württemberg,Landkreis Biberach,48.124692,10.112158,2020-04-28 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,"DC Kupplung Combo, DC CHAdeMO",75.0,,,,,,,,150.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,EnBW mobility+ AG und Co.KG ,Illertal West,0,BAB7,88451,Dettingen,Baden-Württemberg,Landkreis Biberach,48.1255219974989,10.1090165697394,2020-12-28 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,EnBW mobility+ AG und Co.KG ,Illertal West,0,BAB7,88451,Dettingen,Baden-Württemberg,Landkreis Biberach,48.1255219974989,10.1090165697394,2020-12-28 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,EnBW mobility+ AG und Co.KG ,Illertal West,0,BAB7,88451,Dettingen,Baden-Württemberg,Landkreis Biberach,48.1255219974989,10.1090165697394,2020-12-28 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,EnBW mobility+ AG und Co.KG ,Hindenburgstraße,5,,88499,Riedlingen,Baden-Württemberg,Landkreis Biberach,48.15164,9.47771,2021-06-25 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,Hahn Sportwagen Böblingen GmbH,Konrad-Zuse-Str.,2,,71034,Böblingen,Baden-Württemberg,Landkreis Böblingen,48.6898346597296,9.00522652220487,2021-02-25 00:00:00,320,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",320.0,,,,,,,,,,,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
172,Hahn Sportwagen Böblingen GmbH,Konrad-Zuse-Str.,2,,71034,Böblingen,Baden-Württemberg,Landkreis Böblingen,48.6898346597296,9.00522652220487,2021-02-25 00:00:00,320,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",320.0,,,,,,,,,,,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
183,Fernwärme Transportgesellschaft mbH,Flugfeld-Allee,16,Kreuzung Magret-Fusbahn-Straße,71063,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.689928,8.993886,2021-09-14 00:00:00,180,Schnellladeeinrichtung,4,DC Kupplung Combo,180.0,,DC Kupplung Combo,180.0,,DC Kupplung Combo,180.0,,DC Kupplung Combo,180,,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,EnBW mobility+ AG und Co.KG ,Neckarstr.,10,,71065,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.702997,9.005091,2020-08-25 00:00:00,315,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,EnBW mobility+ AG und Co.KG ,Autobahn,0,BAB81/8,71069,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.7416682,9.0331385,2019-12-12 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,EnBW mobility+ AG und Co.KG ,Raststätte Sindelfinger Wald Süd,0,BAB8,71069,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.741374,9.033108,2020-12-04 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,EnBW mobility+ AG und Co.KG ,Raststätte Sindelfinger Wald Süd,0,BAB8,71069,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.741374,9.033108,2020-12-04 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,EnBW mobility+ AG und Co.KG ,Raststätte Sindelfinger Wald Süd,0,BAB8,71069,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.741374,9.033108,2020-12-04 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,EnBW mobility+ AG und Co.KG ,Raststätte Sindelfinger Wald Süd,0,BAB8,71069,Sindelfingen,Baden-Württemberg,Landkreis Böblingen,48.741374,9.033108,2020-12-04 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,EWE Go GmbH,Ohmstraße,5/1,,71083,Herrenberg,Baden-Württemberg,Landkreis Böblingen,48.58102284849,8.894139349661,2021-12-15 00:00:00,250,Schnellladeeinrichtung,2,DC Kupplung Combo,225.0,,DC Kupplung Combo,225.0,,,,,,,,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,EnBW mobility+ AG und Co.KG ,Am Römerfeld,1,,71149,Bondorf,Baden-Württemberg,Landkreis Böblingen,48.507589,8.8281793,2020-05-26 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,EnBW mobility+ AG und Co.KG ,Am Römerfeld,1,,71149,Bondorf,Baden-Württemberg,Landkreis Böblingen,48.5076234,8.828266,2020-05-26 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,EnBW mobility+ AG und Co.KG ,Pforzheimer Straße,150,,71277,Rutesheim,Baden-Württemberg,Landkreis Böblingen,48.812009,8.922092,2020-10-14 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,EnBW mobility+ AG und Co.KG ,Pforzheimer Straße,150,,71277,Rutesheim,Baden-Württemberg,Landkreis Böblingen,48.812009,8.922092,2020-10-14 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,EnBW mobility+ AG und Co.KG ,Pforzheimer Straße,150,,71277,Rutesheim,Baden-Württemberg,Landkreis Böblingen,48.812009,8.922092,2020-10-14 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,EnBW mobility+ AG und Co.KG ,Pforzheimer Straße,150,,71277,Rutesheim,Baden-Württemberg,Landkreis Böblingen,48.812009,8.922092,2020-10-14 00:00:00,300,Schnellladeeinrichtung,3,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,AC Steckdose Typ 2,22.0,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,EWE Go GmbH,Ehlersstraße,34,,88046,Friedrichshafen,Baden-Württemberg,Landkreis Bodenseekreis,47.658904584028,9.486602542888,2021-09-29 00:00:00,156,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,EWE Go GmbH,Planckstr.,2,,88677,Markdorf,Baden-Württemberg,Landkreis Bodenseekreis,47.71599863499,9.401641488075,2021-08-10 00:00:00,160,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781
457,EnBW mobility+ AG und Co.KG ,Im unteren Stollen,5,,79189,Bad Krotzingen,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.925027,7.701838,2020-11-04 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,ALDI SÜD,Freiburger Tor,2,,79249,Merzhausen,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.972639,7.828139,2020-11-25 00:00:00,125,Schnellladeeinrichtung,3,DC Kupplung Combo,125.0,,DC Kupplung Combo,125.0,,AC Steckdose Typ 2,22.0,,,,,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Charge-ON GmbH,Autohof Bremgarten ,0,an der BAB 5,79258,Hartheim-Bremgarten,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.909055,7.592565,2020-07-01 00:00:00,350,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",350.0,,,,,,,,,,,350.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,Charge-ON GmbH,Autohof Bremgarten ,0,an der BAB 5,79258,Hartheim-Bremgarten,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.909055,7.592565,2020-07-01 00:00:00,350,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",350.0,,,,,,,,,,,350.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,Charge-ON GmbH,Autohof Bremgarten ,0,an der BAB 5,79258,Hartheim-Bremgarten,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.909055,7.592565,2020-07-01 00:00:00,350,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",350.0,,,,,,,,,,,350.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,Charge-ON GmbH,Autohof Bremgarten ,0,an der BAB 5,79258,Hartheim-Bremgarten,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.909055,7.592565,2020-07-01 00:00:00,350,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",350.0,,,,,,,,,,,350.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,ALDI SÜD,Colmarer Straße,5,,79395,Neuenburg,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.817417,7.556417,2021-09-30 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,TotalEnergies Marketing Deutschland GmbH,Am Friedenweiler,an der B13,,79877,Friedenweiler,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald,47.8976,8.2744,2021-12-08 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,"DC Kupplung Combo, DC CHAdeMO",150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781
674,Fastned Deutschland GmbH & Co. KG,Breisgauallee,4,,79336,Herbolzheim,Baden-Württemberg,Landkreis Emmendingen,48.22685,7.75509,2018-12-21 00:00:00,175,Schnellladeeinrichtung,1,DC Kupplung Combo,175.0,,,,,,,,,,,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,Fastned Deutschland GmbH & Co. KG,Breisgauallee,4,,79336,Herbolzheim,Baden-Württemberg,Landkreis Emmendingen,48.22685,7.75509,2018-12-21 00:00:00,175,Schnellladeeinrichtung,1,DC Kupplung Combo,175.0,,,,,,,,,,,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,Fastned Deutschland GmbH & Co. KG,Breisgauallee,4,,79336,Herbolzheim,Baden-Württemberg,Landkreis Emmendingen,48.22685,7.75509,2018-12-21 00:00:00,175,Schnellladeeinrichtung,1,DC Kupplung Combo,175.0,,,,,,,,,,,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,BP Europa SE,Forchheimer Straße,15,,79359,Riegel am Kaiserstuhl,Baden-Württemberg,Landkreis Emmendingen,48.15667,7.74495,2021-12-03 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,BP Europa SE,Forchheimer Straße,15,,79359,Riegel am Kaiserstuhl,Baden-Württemberg,Landkreis Emmendingen,48.15671,7.74496,2021-12-03 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,EWE Go GmbH,Römerstraße,11,,71296,Heimsheim,Baden-Württemberg,Landkreis Enzkreis,48.824218096451,8.86946547038,2021-08-11 00:00:00,160,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,EnBW mobility+ AG und Co.KG ,Autobahn,0,BAB8,75223,Niefern-Öschelbronn,Baden-Württemberg,Landkreis Enzkreis,48.907993,8.77373,2019-11-27 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,EnBW mobility+ AG und Co.KG ,Dachsteinstraße,5,,75449,Wurmberg,Baden-Württemberg,Landkreis Enzkreis,48.871832,8.80115,2020-12-21 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,EnBW mobility+ AG und Co.KG ,Dachsteinstraße,5,,75449,Wurmberg,Baden-Württemberg,Landkreis Enzkreis,48.871832,8.80115,2020-12-21 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,Flughafen Stuttgart GmbH,Flughafen Stuttgart,0,Parkplatz P5,70629,Stuttgart,Baden-Württemberg,Landkreis Esslingen,48.690519,9.1918902,2017-12-20 00:00:00,150,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43.0,,"DC Kupplung Combo, DC CHAdeMO",150.0,,,,,,,,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
771,Flughafen Stuttgart GmbH,Flughafen Stuttgart,0,Kiss&Ride-Parkplatz,70629,Stuttgart,Baden-Württemberg,Landkreis Esslingen,48.6917473,9.1963515,2017-12-20 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,Flughafen Stuttgart GmbH,Flughafen Stuttgart,0,Kiss&Ride-Parkplatz,70629,Stuttgart,Baden-Württemberg,Landkreis Esslingen,48.6917473,9.1963515,2017-12-20 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,ALDI SÜD,Karlsruherstraße,7,,70771,Leinfelden-Echerdingen,Baden-Württemberg,Landkreis Esslingen,48.695833,9.168611,2020-09-15 00:00:00,125,Schnellladeeinrichtung,3,DC Kupplung Combo,125.0,,DC Kupplung Combo,125.0,,AC Steckdose Typ 2,22.0,,,,,125.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
901,EnBW mobility+ AG und Co.KG ,Kruichling,15,,73230,Kirchheim unter Teck,Baden-Württemberg,Landkreis Esslingen,48.644175,9.429898,2020-01-31 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,EnBW mobility+ AG und Co.KG ,Kruichling,15,,73230,Kirchheim unter Teck,Baden-Württemberg,Landkreis Esslingen,48.64417,9.42971,2021-03-31 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,TotalEnergies Marketing Deutschland GmbH,Im Haag,2-4,,73230,Kirchheim unter Teck,Baden-Württemberg,Landkreis Esslingen,48.642133,9.433339,2020-05-29 00:00:00,175,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",175.0,,,,,,,,,,,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,TotalEnergies Marketing Deutschland GmbH,Im Haag,2-4,,73230,Kirchheim unter Teck,Baden-Württemberg,Landkreis Esslingen,48.642133,9.433339,2020-05-29 00:00:00,175,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",175.0,,,,,,,,,,,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,TotalEnergies Marketing Deutschland GmbH,Im Haag,2-4,,73230,Kirchheim unter Teck,Baden-Württemberg,Landkreis Esslingen,48.642133,9.433339,2020-05-29 00:00:00,175,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",175.0,,,,,,,,,,,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,EWE Go GmbH,Christian-Eisele-Straße,11,,73257,Köngen,Baden-Württemberg,Landkreis Esslingen,48.677565940256,9.365855455399,2021-11-15 00:00:00,156,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,EnBW mobility+ AG und Co.KG ,Kirchheimer Str.,140/146,,73265,Dettingen unter Teck,Baden-Württemberg,Landkreis Esslingen,48.6203296,9.4537792,2020-03-30 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,DC Kupplung Combo,22.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982,EnBW mobility+ AG und Co.KG ,Elly-Beinhorn-Straße,2,,73760,Ostfildern,Baden-Württemberg,Landkreis Esslingen,48.7047248,9.249055,2020-04-15 00:00:00,250,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,EWE Go GmbH,Felix-Wankel-Str.,5,,73760,Ostfildern,Baden-Württemberg,Landkreis Esslingen,48.712745004435,9.308847698241,2021-06-22 00:00:00,156,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,EnBW mobility+ AG und Co.KG ,Autobahn,0,BAB81,73770,Denkendorf,Baden-Württemberg,Landkreis Esslingen,48.693887,9.303839,2019-12-13 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993,IONITY GmbH,Denkendorf Nord,0,,73770,Denkendorf,Baden-Württemberg,Landkreis Esslingen,48.693667,9.303297,2019-04-01 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,IONITY GmbH,Denkendorf Nord,0,,73770,Denkendorf,Baden-Württemberg,Landkreis Esslingen,48.693667,9.303297,2019-04-01 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
