,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Anschlussleistung,Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,Max,amenity=restaurant,amenity=place_of_worship,amenity=cafe,amenity=fast_food,amenity=vending_machine,amenity=bar,amenity=library,amenity=marketplace,amenity=theatre,amenity=ice_cream,amenity=cinema,amenity=bbq,amenity=arts_centre,amenity=nightclub,amenity=public_bookcase,amenity=internet_cafe,amenity=food_court,amenity=biergarten,amenity=brothel,amenity=pub,museum,tourism
5311,Pfalzwerke AG,Manchinger Straße,0,,85053,Ingolstadt,Bayern,Kreisfreie Stadt Ingolstadt,48.745816,11.468117,2022-01-17 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5312,Pfalzwerke AG,Manchinger Straße,0,,85053,Ingolstadt,Bayern,Kreisfreie Stadt Ingolstadt,48.74576,11.468079,2022-01-17 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5318,ALDI SÜD,Despag-Straße,2,,85055,Ingolstadt,Bayern,Kreisfreie Stadt Ingolstadt,48.776139,11.451806,2021-03-18 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5321,EnBW mobility+ AG und Co.KG ,Goethestr.,145,,85055,Ingolstadt,Bayern,Kreisfreie Stadt Ingolstadt,48.772318,11.451888,2020-07-01 15:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5325,BP Europa SE,Schollstraße,2,,85055,Ingolstadt,Bayern,Kreisfreie Stadt Ingolstadt,48.77484,11.45952,2021-12-17 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5326,BP Europa SE,Schollstraße,2,,85055,Ingolstadt,Bayern,Kreisfreie Stadt Ingolstadt,48.77484,11.45952,2021-12-17 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5544,VWEW-Energie GmbH,Augsburger Strasse,85,,87600,Kaufbeuren,Bayern,Kreisfreie Stadt Kaufbeuren,47.886099,10.63887,2021-01-04 00:00:00,150,Schnellladeeinrichtung,4,AC Steckdose Typ 2,22.0,,AC Kupplung Typ 2,43.0,,DC Kupplung Combo,150.0,,DC Kupplung Combo,150,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5601,EnBW mobility+ AG und Co.KG ,Europastraße,3,,87700,Memmingen,Bayern,Kreisfreie Stadt Memmingen,47.9993908,10.1531904,2020-05-14 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5971,Deutsche Funkturm GmbH,Spiridon - Louis - Ring,7,,80809,München,Bayern,Kreisfreie Stadt München,48.102975,11.331207,2017-06-30 00:00:00,150,Schnellladeeinrichtung,4,DC Kupplung Combo,100.0,,"DC Kupplung Combo, DC CHAdeMO",62.5,,AC Kupplung Typ 2,43.0,,AC Steckdose Typ 2,22,,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5973,Comfortcharge GmbH,Spiridon-Louis-Ring,9,,80809,München,Bayern,Kreisfreie Stadt München,48.17495,11.55342,2017-09-21 00:00:00,150,Schnellladeeinrichtung,3,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,AC Kupplung Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6013,Comfortcharge GmbH,Feldmochinger Str,204,,80995,München,Bayern,Kreisfreie Stadt München,48.19528,11.5237,2020-02-10 00:00:00,100,Schnellladeeinrichtung,3,"DC Kupplung Combo, DC CHAdeMO",100.0,,AC Steckdose Typ 2,22.0,,AC Kupplung Typ 2,22.0,,,,,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6064,EnBW mobility+ AG und Co.KG ,Verdistr.,68,,81247,München,Bayern,Kreisfreie Stadt München,48.1648363,11.4714807,2020-07-01 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6150,ALDI SÜD,Meglingerstraße,33,,81477,München,Bayern,Kreisfreie Stadt München,48.090167,11.505306,2021-09-08 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6306,EnBW mobility+ AG und Co.KG ,Ottobrunner Straße,116,,81737,München,Bayern,Kreisfreie Stadt München,48.102898,11.62509,2019-07-18 00:00:00,173,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6361,BayWa AG,Arabellastr.,4,,81925,München,Bayern,Kreisfreie Stadt München,48.153015,11.617575,2019-06-17 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6362,BayWa AG,Arabellastr.,4,,81925,München,Bayern,Kreisfreie Stadt München,48.153065,11.617575,2019-06-17 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6363,BayWa AG,Arabellastr.,4,,81925,München,Bayern,Kreisfreie Stadt München,48.152967,11.617575,2019-06-17 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6364,BayWa AG,Arabellastr.,4,,81925,München,Bayern,Kreisfreie Stadt München,48.15202,11.617575,2019-06-17 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Steckdose Typ 2,22.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6369,EnBW mobility+ AG und Co.KG ,Cosimastr.,10,,81927,München,Bayern,Kreisfreie Stadt München,48.155556,11.630057,2020-09-18 00:00:00,250,Schnellladeeinrichtung,2,DC Kupplung Combo,250.0,,"DC Kupplung Combo, DC CHAdeMO",250.0,,,,,,,,250.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6424,EnBW mobility+ AG und Co.KG ,Aüßere Bayreuther Strasse,134,,90411,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.47527,11.104245,2020-07-17 00:00:00,315,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6479,ALDI SÜD,Konstanzenstraße,111,,90439,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.434944,11.041028,2020-09-03 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6536,N-ERGIE Aktiengesellschaft,Sandreuthstr.,21,,90441,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.43538,11.05947,2021-11-11 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6549,Comfortcharge GmbH,Hansastraße,1,,90441,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.42652,11.03887,2018-09-25 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Kupplung Typ 2,22.0,,,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6550,Comfortcharge GmbH,Hansastr,1,,90441,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.42655,11.03896,2020-03-16 00:00:00,150,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",150.0,,AC Kupplung Typ 2,22.0,,,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6551,EWE Go GmbH,Heisterstraße,1,,90441,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.427963562521,11.061602711743,2021-08-20 00:00:00,160,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6561,EnBW mobility+ AG und Co.KG ,Eibacher Hauptstr.,109,,90451,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.399145,11.038398,2020-06-04 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6563,ALDI SÜD,An der Radrunde,148,,90455,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.372028,11.081889,2021-09-27 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6584,Audi Events und Services GmbH,Münchener Str.,301,Messezentrum 1,90478,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.4181205659324,11.1089240158988,2021-12-17 00:00:00,320,Schnellladeeinrichtung,4,DC Kupplung Combo,320.0,,DC Kupplung Combo,320.0,,DC Kupplung Combo,320.0,,DC Kupplung Combo,320,,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6585,Audi Events und Services GmbH,Münchener Str.,301,Messezentrum 1,90478,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.4181205659324,11.1089240158988,2021-12-17 00:00:00,320,Schnellladeeinrichtung,2,DC Kupplung Combo,320.0,,DC Kupplung Combo,320.0,,,,,,,,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6588,ALDI SÜD,Regensburger Straße,266,,90480,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.593667,11.143917,2021-06-16 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600,EnBW mobility+ AG und Co.KG ,Sulzbacher Str.,24-26,,90489,Nürnberg,Bayern,Kreisfreie Stadt Nürnberg,49.457844,11.092907,2020-04-19 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6624,ALDI SÜD,Neuburger Straße,137,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.559526,13.4225,2020-09-03 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6639,IONITY GmbH,Donautal Ost,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.588,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6640,IONITY GmbH,Donautal Ost,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.588,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6641,IONITY GmbH,Donautal Ost,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.588,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6642,IONITY GmbH,Donautal Ost,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.588,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6643,IONITY GmbH,Donautal West,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.59,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6644,IONITY GmbH,Donautal West,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.59,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6645,IONITY GmbH,Donautal West,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.59,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6646,IONITY GmbH,Donautal West,0,,94036,Passau,Bayern,Kreisfreie Stadt Passau,48.59,13.366,2019-05-31 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6748,Allego GmbH,Junkerstraße,3,,93055,Regensburg,Bayern,Kreisfreie Stadt Regensburg,48.994797,12.150867,2019-12-20 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6749,Allego GmbH,Junkerstraße,3,,93055,Regensburg,Bayern,Kreisfreie Stadt Regensburg,48.994797,12.150867,2019-12-20 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6750,Allego GmbH,Junkerstraße,3,,93055,Regensburg,Bayern,Kreisfreie Stadt Regensburg,48.994797,12.150867,2019-12-20 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6751,Allego GmbH,Junkerstraße,3,,93055,Regensburg,Bayern,Kreisfreie Stadt Regensburg,48.994797,12.150867,2019-12-20 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6859,BP Europa SE,Max-Planck-Straße,8,,93055,Regensburg,Bayern,Kreisfreie Stadt Regensburg,49.000108900175,12.14799284935,2021-03-31 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6860,BP Europa SE,Max-Planck-Straße,8,,93055,Regensburg,Bayern,Kreisfreie Stadt Regensburg,49.000108900175,12.14799284935,2021-03-31 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6886,Mer Germany GmbH,Frankenstraße,4,754,93059,Regensburg,Bayern,Kreisfreie Stadt Regensburg,49.028468,12.107743,2021-04-21 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6896,EnBW mobility+ AG und Co.KG ,Renkenweg,1,,83026,Rosenheim,Bayern,Kreisfreie Stadt Rosenheim,47.84341,12.082092,2020-07-03 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6948,BP Europa SE,Straßburgstraße,1,,97424,Schweinfurt,Bayern,Kreisfreie Stadt Schweinfurt,50.021655,10.216618,2021-08-31 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6949,BP Europa SE,Straßburgstraße,1,,97424,Schweinfurt,Bayern,Kreisfreie Stadt Schweinfurt,50.021655,10.216618,2021-08-31 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6950,Comfortcharge GmbH,Sven Wingquist Straße,2,,97424,Schweinfurt,Bayern,Kreisfreie Stadt Schweinfurt,50.03104,10.22985,2021-04-07 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,100.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6954,EnBW mobility+ AG und Co.KG ,Landshuter Str,101,,94315,Straubing,Bayern,Kreisfreie Stadt Straubing,48.8676,12.5742,2020-05-14 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6957,Mer Germany GmbH,Parkplatz Donaugasse,0,272,94315,Straubing,Bayern,Kreisfreie Stadt Straubing,48.885426,12.575793,2018-07-15 00:00:00,160,Schnellladeeinrichtung,1,DC Kupplung Combo,150.0,,,,,,,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6959,Mer Germany GmbH,Chamer Straße,50,448,94315,Straubing,Bayern,Kreisfreie Stadt Straubing,48.890246,12.577874,2020-04-21 00:00:00,150,Schnellladeeinrichtung,4,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Kupplung Typ 2,43.0,,AC Steckdose Typ 2,22,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6996,Mer Germany GmbH,Nürnberger Straße,108,940,97076,Würzburg,Bayern,Kreisfreie Stadt Würzburg,49.7983,9.99306,2021-06-23 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6997,Mer Germany GmbH,Nürnberger Straße,43,943,97076,Würzburg,Bayern,Kreisfreie Stadt Würzburg,49.79734,9.95908,2021-06-24 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6998,Mer Germany GmbH,Winterhäuser Straße,20,941,97076,Würzburg,Bayern,Kreisfreie Stadt Würzburg,49.76139,9.95988,2021-06-24 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6999,Mer Germany GmbH,Randersackerer Straße,50,942,97076,Würzburg,Bayern,Kreisfreie Stadt Würzburg,49.77651,9.94042,2021-06-23 00:00:00,150,Schnellladeeinrichtung,3,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,AC Steckdose Typ 2,22.0,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7020,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,Neunerplatz,2,Fraunhofer ISC - Würzburg,97082,Würzburg,Bayern,Kreisfreie Stadt Würzburg,49.797548,9.918745,2021-11-30 12:07:44,250,Schnellladeeinrichtung,3,DC Kupplung Combo,250.0,,"DC Kupplung Combo, DC CHAdeMO",32.0,,AC Steckdose Typ 2,22.0,,,,,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7034,IONITY GmbH,Friedberg,0,,86316,Friedberg,Bayern,Landkreis Aichach-Friedberg,48.406431,10.952255,2021-06-11 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7035,IONITY GmbH,Friedberg,0,,86316,Friedberg,Bayern,Landkreis Aichach-Friedberg,48.406431,10.952255,2021-06-11 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7036,IONITY GmbH,Friedberg,0,,86316,Friedberg,Bayern,Landkreis Aichach-Friedberg,48.406431,10.952255,2021-06-11 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7037,IONITY GmbH,Friedberg,0,,86316,Friedberg,Bayern,Landkreis Aichach-Friedberg,48.406431,10.952255,2021-06-11 00:00:00,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350.0,,,,,,,,,,,350.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7038,Fastned Deutschland GmbH & Co. KG,Winterbruckenweg,53,,86316,Friedberg,Bayern,Landkreis Aichach-Friedberg,48.40745,10.952012,2021-09-16 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7039,Fastned Deutschland GmbH & Co. KG,Winterbruckenweg,53,,86316,Friedberg,Bayern,Landkreis Aichach-Friedberg,48.40745,10.952012,2021-09-16 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7041,EWE Go GmbH,Hertzstr.,1,,86415,Mering,Bayern,Landkreis Aichach-Friedberg,48.273707193194,10.977514386177,2021-09-21 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7047,BP Europa SE,Laimeringer Straße,2,,86453,Dasing,Bayern,Landkreis Aichach-Friedberg,48.39001,11.06351,2021-11-11 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7048,BP Europa SE,Laimeringer Straße,2,,86453,Dasing,Bayern,Landkreis Aichach-Friedberg,48.39001,11.06351,2021-11-11 00:00:00,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300.0,,DC Kupplung Combo,300.0,,,,,,,,300.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7062,EnBW mobility+ AG und Co.KG ,Burgkirchener Str.,14,,84489,Burghausen,Bayern,Landkreis Altötting,48.17735,12.82527,2020-03-30 00:00:00,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300.0,,"DC Kupplung Combo, DC CHAdeMO",300.0,,,,,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7063,EnBW mobility+ AG und Co.KG ,Burgkirchener Str.,11,,84489,Burghausen,Bayern,Landkreis Altötting,48.1749975,12.8251534,2020-12-22 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150.0,,DC Kupplung Combo,150.0,,,,,,,,150.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7082,AVP Sportwagen GmbH Alötting,Schneibsteinstr.,1,,84503,Altötting,Bayern,Landkreis Altötting,48.227726,12.663114,2021-04-23 00:00:00,150,Schnellladeeinrichtung,2,DC Kupplung Combo,320.0,,DC Kupplung Combo,320.0,,,,,,,,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
